# Positive/Negative Impact, if the following is matched
# multi/singel-player[1,0], Ger = [1,..,4] = [action, shooting, Puzzel,strategy], blood[1,0], target[0,..,3] = [kein,Human, Monsters, other] --> Negative [1,0]
1, 1, 1, 1, 1
0, 1, 1, 1, 1
1, 1, 1, 2, 1
0, 1, 1, 2, 1
1, 1, 1, 3, 1
0, 1, 1, 3, 1
1, 1, 0, 1, 0
0, 1, 0, 1, 0
1, 1, 0, 2, 0
0, 1, 0, 2, 0
1, 1, 0, 3, 0
0, 1, 0, 3, 0
1, 2, 1, 1, 0
1, 2, 0, 1, 0
1, 2, 1, 2, 0
1, 2, 0, 2, 0
1, 2, 1, 3, 0
1, 2, 0, 3, 0
0, 2, 1, 1, 1
0, 2, 0, 1, 0
0, 2, 1, 2, 1
0, 2, 0, 2, 0
0, 2, 1, 3, 1
0, 2, 0, 3, 0
1, 3, 0, 0, 0
0, 3, 0, 0, 0
1, 3, 0, 0, 0
0, 3, 0, 0, 0
1, 3, 0, 0, 0
0, 3, 0, 0, 0
1, 4, 1, 1, 0
0, 4, 1, 1, 0
1, 4, 1, 2, 0
0, 4, 1, 2, 0
1, 4, 1, 3, 0
0, 4, 1, 3, 0
1, 4, 0, 1, 0
0, 4, 0, 1, 0
1, 4, 0, 2, 0
0, 4, 0, 2, 0
1, 4, 0, 3, 0
0, 4, 0, 3, 0
